"","protein","log2_fold_change","adjusted_p_value_-log10","significant"
"338","RIPOR1 FAM65A KIAA1930",1.55960243917129,0.0696320305370937,FALSE
"339","EPM2A",1.55340889089232,0.0888805348595757,FALSE
"340","NXPH1 NPH1 Nbla00697",1.55065588769894,0.0644025689853548,FALSE
"341","SGO2 SGOL2",1.55000000920438,0.0814900265416737,FALSE
"342","E4",1.54851318629589,0.0826206141165614,FALSE
"343","FHL2 DRAL SLIM3",1.54797208126433,0.201544807851301,FALSE
"344","MYCBP2 KIAA0916 PAM",1.54706582461676,0.0484239290528542,FALSE
"345","MTTP MTP",1.54273110304507,0.0877959175430605,FALSE
"346","ZBTB16 PLZF ZNF145",1.53639405941402,0.0633362254950934,FALSE
"347","TMF1 ARA160",1.53366495588889,0.0483327476028448,FALSE
"348","PRPSAP2",1.53274667157854,0.0855867814062922,FALSE
"349","NEUROD6 ATOH2 BHLHA2 My051",1.53105561419876,0.106037421861554,FALSE
"350","ARRB1 ARR1",1.52757957453143,0.0691135404657344,FALSE
"351","ZNF699",1.5253814060682,0.100923069776596,FALSE
"352","ORC1 ORC1L PARC1",1.52291560967973,0.138163888936152,FALSE
"353","SORCS2 KIAA1329",1.5227536133667,0.214739510888526,FALSE
"354","ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1",1.51446153683773,0.110145763164258,FALSE
"355","ADGB C6orf103 CAPN7L",1.51402810233459,0.0985671098288418,FALSE
"356","PRADC1 C2orf7 PAP21 UNQ833/PRO1760",1.5115241689469,0.0750942054022611,FALSE
"357","FURIN FUR PACE PCSK3",1.51146288365742,0.259399767647451,FALSE
"358","ITGAL CD11A",1.50669366594855,0.0814747586623995,FALSE
"359","ZNF488",1.50604400433863,0.145778318174202,FALSE
"360","CSMD3 KIAA1894",1.50443011036701,0.158461780445573,FALSE
"361","ITGAD",1.50120032024792,0.0754060098241909,FALSE
"362","SRI",1.498977118018,0.110187284975734,FALSE
"363","ST14 PRSS14 SNC19 TADG15",1.49593597450572,0.0651080889362287,FALSE
"364","BCAS3",1.48249621560704,0.0670868242415913,FALSE
"365","PPP1R26 KIAA0649",1.47994489806237,0.0667273221376067,FALSE
"366","TP53I13 DSCP1",1.47687833747559,0.130170867040508,FALSE
"367","HP",1.47459598241399,0.0668299962578005,FALSE
"368","FTCD",1.47349394371791,0.102609981761064,FALSE
"369","CHD2",1.47221068119764,0.0871796042939871,FALSE
"370","APC2 APCL",1.47173360799781,0.145855758002157,FALSE
"371","FSIP2",1.4703955683389,0.0944320577632436,FALSE
"372","ZFHX2 KIAA1056 KIAA1762 ZNF409",1.46387222580165,0.125280105206817,FALSE
